Show,wds_id,discov#,comp,first,last,Years of Obs,obs,pa_first,pa_last,Δ P.A.,sep_first,sep_last,Δ SEP,mag1,mag2,Δ Mag,spectr,pm1_ra,pm1_dec,PM 1,pm2_ra,pm2_dec,PM 2,rPM,notes,coord_arcsec_2000,gaia_source_id,parallax_mas,parallax_error_mas,Gmag
Show,14230-0857,HDS2026,,1991,2015,24,10,279,279,0,7.9,7.8,0.1,10.09,12.45,2.36,G0,-39,-12,40.80441153,-42.0,-6.0,42.42640687,0.1643989873,,142302.97-085640.8,,,,
Show,16056-4926,CPO 455,,1902,2015,113,8,48,46,2,7.2,6.6,0.6,10.0,11.8,1.8,B8,-3,-8,8.544003745,-2.0,-7.0,7.280109889,0.1655211777,,160533.53-492607.4,,,,
Show,21428-5107,CPO 625,,1892,2015,123,13,92,98,6,6.6,5.6,1.0,10.75,11.12,0.37,F7/8IV,-17,7,18.38477631,-16.0,4.0,16.4924225,0.172005229,,214249.25-510630.4,,,,
Show,19003-3616,HJ 5077,AB,1834,2015,181,16,94,95,1,4.0,7.9,3.9,9.48,10.19,0.71,A1IV,7,-9,11.40175425,5.0,-9.0,10.29563014,0.1754116039,V,190020.88-361554.4,,,,
Show,20084+3528,ES 203,,1895,2015,120,14,128,130,2,5.6,6.1,0.5,9.25,10.4,1.15,B1:IV:nn,-4,-7,8.062257748,-5.0,-8.0,9.433981132,0.1754116039,N,200823.07+352733.4,,,,
Show,22349+5259,HJ 3124,,1831,2015,184,15,271,268,3,5.0,7.2,2.2,9.16,10.74,1.58,A3,16,5,16.76305461,13.0,5.0,13.92838828,0.1789649959,V,223459.03+525925.1,,,,
Show,18473+2125,GRV 239,,1896,2015,119,9,246,244,2,7.5,7.6,0.1,10.6,12.6,2.0,,-13,-10,16.40121947,-10.0,-10.0,14.14213562,0.1829132283,,184723.01+212523.5,,,,
Show,20034+5318,TOI1310,,2003,2015,12,2,123,123,0,9.4,9.4,0.0,11.0,11.6,0.6,,10,-14,17.20465053,7.0,-13.0,14.76482306,0.1838036555,R,200321.26+531744.5,,,,
Show,20361+6523,STI 990,,1894,2015,121,12,173,177,4,5.5,5.8,0.3,10.0,11.7,1.7,,5,15,15.8113883,5.0,12.0,13.0,0.1897366596,,203604.28+652246.5,,,,
Show,19003+4835,DEA 191,,1901,2015,114,13,80,78,2,8.7,8.9,0.2,10.6,10.8,0.2,,-9,-19,21.02379604,-5.0,-18.0,18.68154169,0.1961161351,V R,190022.87+483501.5,,,,
Show,17251+0348,BAL2440,,1910,2015,105,15,11,4,7,8.5,7.9,0.6,9.74,10.45,0.71,K2,1,-95,95.00526301,-6.0,-77.0,77.23341246,0.2032856634,,172505.52+034811.7,,,,
Show,21260+4905,ES 821,,1902,2015,113,10,279,276,3,7.4,7.0,0.4,10.84,12.0,1.16,,-16,-7,17.4642492,-14.0,-10.0,17.20465053,0.2064532655,,212606.12+490455.4,,,,
Show,21255+2510,POU5364,AB,1891,2015,124,11,232,232,0,7.1,7.7,0.6,10.61,11.1,0.49,,6,-9,10.81665383,8.0,-10.0,12.80624847,0.2067245576,,212525.45+251015.1,,,,
Show,21255+2510,POU5364,AB,1891,2015,124,11,232,232,0,7.1,7.7,0.6,10.61,11.1,0.49,,6,-9,10.81665383,8.0,-10.0,12.80624847,0.2067245576,,212525.45+251015.1,,,,
Show,22530+5207,HJ 1827,,1828,2015,187,11,322,323,1,9.0,9.8,0.8,10.6,11.4,0.8,,-8,-5,9.433981132,-6.0,-5.0,7.810249676,0.211999576,R,225300.88+520722.6,,,,
Show,22530+5207,HJ 1827,,1828,2015,187,11,322,323,1,9.0,9.8,0.8,10.6,11.4,0.8,,-8,-5,9.433981132,-6.0,-5.0,7.810249676,0.211999576,R,225300.88+520722.6,,,,
Show,19509+4841,DEA 126,,1899,2015,116,13,251,251,0,7.1,7.0,0.1,11.0,11.0,0.0,,-7,-28,28.86173938,-12.0,-24.0,26.83281573,0.2218551056,V R,195059.34+484139.5,,,,
Show,19348+7501,STF2575,,1832,2015,183,22,35,33,2,7.2,7.6,0.4,9.72,12.15,2.43,F8,-2,-20,20.09975124,0.0,-16.0,16.0,0.2224970797,,193448.98+750104.3,,,,
Show,20345+1138,J 142,,1907,2015,108,10,245,242,3,6.7,6.5,0.2,10.35,12.5,2.15,,2,-4,4.472135955,2.0,-5.0,5.385164807,0.2236067977,,203425.91+113717.5,,,,
Show,21315-3834,I 1123,AB,1905,2015,110,9,349,343,6,4.6,5.0,0.4,9.98,11.17,1.19,K4/5V,40,-44,59.46427499,31.0,-34.0,46.01086828,0.2262471719,,213128.78-383323.3,,,,
Show,16335-5134,CPO 483,,1892,2015,123,5,237,239,2,10.6,6.7,3.9,10.24,10.9,0.66,,-18,-17,24.75883681,-14.0,-13.0,19.10497317,0.2284781912,,163331.01-513318.1,,,,
Show,16370+0852,GRV 934,,1896,2015,119,14,155,153,2,9.2,9.3,0.1,10.7,11.6,0.9,,-18,18,25.45584412,-13.0,15.0,19.84943324,0.2290614236,,163701.65+085235.1,,,,
Show,22355-4137,HJ 5343,,1836,2015,179,13,53,47,6,3.0,5.2,2.2,9.59,9.91,0.32,F5,-2,-22,22.09072203,-3.0,-17.0,17.2626765,0.2308217679,,223525.89-413642.3,,,,
Show,18231-6235,CPO 79,,1901,2015,114,14,55,55,0,5.7,5.6,0.1,9.22,9.42,0.2,F5V+F5V,5,-14,14.86606875,7.0,-11.0,13.03840481,0.242535625,N,182303.16-623515.9,,,,
Show,18430+3445,BKO 52,BD,1998,2015,17,9,80,82,2,7.4,7.5,0.1,11.0,12.5,1.5,,-10,11,14.86606875,-13.0,9.0,15.8113883,0.242535625,,184300.10+344518.9,,,,
Show,17578+0922,HJ 1308,,1880,2015,135,17,141,140,1,9.8,9.7,0.1,10.74,10.78,0.04,G5,0,-13,13.0,1.0,-16.0,16.03121954,0.2432521277,,175747.07+092230.2,,,,
Show,14022-6701,GLI 198,AB,1852,2015,163,13,350,356,6,8.2,5.6,2.6,9.48,9.79,0.31,A5/7IV/V,-21,-13,24.69817807,-20.0,-19.0,27.58622845,0.246283856,V,140212.80-670114.2,,,,
Show,18082-3032,SKF2063,,1913,2015,102,6,52,53,1,7.4,7.6,0.2,10.4,12.5,2.1,B9III,0,-4,4.0,1.0,-4.0,4.123105626,0.25,,180814.86-303158.2,,,,
Show,18082-3032,SKF2063,,1913,2015,102,6,52,53,1,7.4,7.6,0.2,10.4,12.5,2.1,B9III,0,-4,4.0,1.0,-4.0,4.123105626,0.25,,180814.86-303158.2,,,,
Show,20295+4516,ES 662,,1893,2015,122,9,141,142,1,6.4,5.7,0.7,9.72,11.9,2.18,,4,8,8.94427191,2.0,7.0,7.280109889,0.25,,202927.73+451534.7,,,,
Show,17442-6917,MLO 77,,1915,2015,100,5,309,301,8,8.8,8.4,0.4,9.17,11.3,2.13,,-2,-24,24.08318916,-8.0,-23.0,24.35159132,0.2525729666,,174414.22-691706.5,,,,
Show,21308+4827,A 770,DE,1900,2015,115,11,43,41,2,6.9,7.2,0.3,10.59,12.0,1.41,F0,-8,-18,19.6977156,-7.0,-13.0,14.76482306,0.2588634955,N,213050.46+482859.4,,,,
Show,15199-2802,KSA 70,AB,1998,2015,17,3,328,329,1,9.0,9.2,0.2,10.33,11.39,1.06,K5,-31,-44,53.82378656,-33.0,-30.0,44.59820624,0.2627488054,K,151952.95-280226.6,,,,
Show,19540+2333,CHE 182,,1894,2015,121,11,71,71,0,8.8,8.1,0.7,10.68,12.0,1.32,,2,8,8.246211251,1.0,6.0,6.08276253,0.2711630723,N,195342.59+233119.1,,,,
Show,20119+2351,POU4262,,1892,2015,123,15,6,5,1,7.5,7.6,0.1,10.72,11.5,0.78,,-1,-5,5.099019514,-2.0,-6.0,6.32455532,0.2773500981,N,201153.58+235040.4,,,,
Show,20227+0014,GAU 17,,1901,2015,114,11,97,95,2,7.6,7.1,0.5,9.03,11.5,2.47,A0,7,-9,11.40175425,4.0,-8.0,8.94427191,0.2773500981,,202244.16+001421.9,,,,
Show,18132+1053,ROE 121,AB,1908,2015,107,16,63,61,2,5.1,5.2,0.1,10.2,11.02,0.82,A0,4,-10,10.77032961,4.0,-7.0,8.062257748,0.2785430073,,181310.63+105316.2,,,,
Show,21066+1137,J 1781,,1907,2015,108,12,119,116,3,7.6,7.5,0.1,10.7,12.4,1.7,,-13,-46,47.80167361,0.0,-49.0,49.0,0.2791045387,,210638.91+113655.8,,,,
Show,16027-6634,DON1116,,1929,2000,71,7,27,25,2,6.0,6.2,0.2,9.37,12.35,2.98,B2IIIp,-6,-13,14.31782106,-6.0,-9.0,10.81665383,0.2793721183,,160244.54-663331.1,,,,
Show,19165+5609,HJ 1384,,1828,2015,187,13,146,144,2,4.0,5.8,1.8,10.97,11.7,0.73,,-3,-18,18.24828759,-4.0,-13.0,13.60147051,0.2794245481,,191627.93+560825.9,,,,
Show,14180-3351,HJ 4668,,1835,2015,180,10,274,278,4,4.0,8.7,4.7,10.34,11.8,1.46,K0,8,-21,22.47220505,4.0,-26.0,26.30589288,0.2849352888,,141759.31-335126.1,,,,
Show,20134+5416,STI2514,,1917,2015,98,9,208,203,5,7.8,7.9,0.1,10.8,11.7,0.9,,-8,-13,15.26433752,-12.0,-15.0,19.20937271,0.2929793677,,201319.45+541551.0,,,,
